building_id,building_type,height,num_floors,latitude,longitude
B000389,unknown,,,17.3802391,78.4194668
B000390,unknown,,,17.3802824,78.4195465
B000391,unknown,,,17.3802487,78.4195609
B000392,unknown,,,17.3799463,78.4195177
B000393,unknown,,,17.379816,78.4195617
B000394,unknown,,,17.3797273,78.4195509
B000395,unknown,,,17.3800396,78.4194649
B000396,unknown,,,17.3798496,78.4194092
B000397,unknown,,,17.3796024,78.4194549
B000398,unknown,,,17.3796332,78.4195684
B000399,unknown,,,17.3798207,78.4195346
B000400,unknown,,,17.3796423,78.4196613
B000401,unknown,,,17.379499,78.4197789
B000402,unknown,,,17.3796788,78.4197451
B000403,unknown,,,17.3798183,78.4196135
B000404,unknown,,,17.3798128,78.4197111
B000405,unknown,,,17.379783,78.4198568
B000406,unknown,,,17.3796722,78.419834
B000407,unknown,,,17.3795862,78.4200013
B000408,unknown,,,17.37968,78.4200101
B000409,unknown,,,17.3796899,78.4199036
B000410,unknown,,,17.3795356,78.4201758
B000411,unknown,,,17.3796049,78.4201876
B000412,unknown,,,17.3797058,78.4202091
B000413,unknown,,,17.3798892,78.4202228
B000414,unknown,,,17.3800128,78.4200397
B000415,unknown,,,17.3798985,78.4200523
B000416,unknown,,,17.3801145,78.4200497
B000417,unknown,,,17.3801914,78.420053
B000418,unknown,,,17.3803476,78.420067
B000419,unknown,,,17.3805066,78.4200652
B000420,unknown,,,17.3806165,78.4202085
B000421,unknown,,,17.3802962,78.4202142
B000422,unknown,,,17.3801833,78.4202106
B000423,unknown,,,17.3801241,78.4202972
B000424,unknown,,,17.3804248,78.4202299
B000425,unknown,,,17.3803228,78.4201873
B000426,unknown,,,17.3806056,78.4203109
B000427,unknown,,,17.3804857,78.4203132
B000428,unknown,,,17.3805934,78.4205255
B000429,unknown,,,17.3804585,78.420508
B000430,unknown,,,17.3803069,78.4205181
B000431,unknown,,,17.3801328,78.4205134
B000432,unknown,,,17.3798359,78.420424
B000433,unknown,,,17.3800097,78.4202905
B000434,unknown,,,17.3798662,78.4202861
B000435,unknown,,,17.3796901,78.4203973
B000436,unknown,,,17.3795591,78.4202624
B000437,unknown,,,17.3791708,78.420453
B000438,unknown,,,17.3789524,78.4204538
B000439,unknown,,,17.3791302,78.4203374
B000440,unknown,,,17.3794116,78.420347
B000441,unknown,,,17.3793498,78.4200852
B000442,unknown,,,17.3794553,78.4201748
B000443,unknown,,,17.3794855,78.4199947
B000444,unknown,,,17.3794067,78.4199573
B000445,unknown,,,17.3791153,78.4200534
B000446,unknown,,,17.379131,78.4201122
B000447,unknown,,,17.378738,78.420193
B000448,unknown,,,17.3789089,78.4200751
B000449,unknown,,,17.3786567,78.4200554
B000450,unknown,,,17.3786007,78.4201058
B000451,unknown,,,17.3786612,78.4202682
B000452,unknown,,,17.3787911,78.4204275
B000453,unknown,,,17.378571,78.4204305
B000454,unknown,,,17.3784435,78.4205125
B000455,unknown,,,17.378158,78.4204564
B000456,unknown,,,17.3781119,78.4204735
B000457,unknown,,,17.3780808,78.4205148
B000458,unknown,,,17.378195,78.4203353
B000459,unknown,,,17.3779268,78.4204589
B000460,unknown,,,17.3777271,78.4204093
B000461,unknown,,,17.3772975,78.4203328
B000462,unknown,,,17.3774609,78.4203204
B000463,unknown,,,17.3773161,78.4199813
B000464,unknown,,,17.377834,78.4200902
B000465,unknown,,,17.3782226,78.4201321
B000466,unknown,,,17.3781932,78.4199464
B000467,unknown,,,17.3782414,78.4199093
B000468,unknown,,,17.3782708,78.4197874
B000469,unknown,,,17.3780536,78.4197678
B000470,unknown,,,17.3778812,78.4195398
B000471,unknown,,,17.3780648,78.4198743
B000472,unknown,,,17.3777331,78.419859
